Date,Open,High,Low,Close,Adj Close,Volume
08-08-2023,2528,2534.449951,2499.550049,2508.649902,2499.819336,4922036
09-08-2023,2504.850098,2529,2481.100098,2525.199951,2516.311279,5743293
10-08-2023,2524.949951,2550,2508.449951,2536.449951,2527.521729,7735299
11-08-2023,2532.449951,2558.850098,2512.350098,2547.149902,2538.183838,11089665
14-08-2023,2539,2582.300049,2525,2577.25,2568.177979,4787906
16-08-2023,2551,2582.800049,2551,2575.149902,2566.085449,5101556
17-08-2023,2567.100098,2578.100098,2532.850098,2538,2529.066162,6836872
18-08-2023,2531.25,2577.600098,2508.550049,2556.800049,2547.800049,9319989
21-08-2023,2539.949951,2555.449951,2515.649902,2520,2520,4610873
22-08-2023,2516.899902,2537.949951,2499,2519.399902,2519.399902,3856522
23-08-2023,2524.199951,2542.850098,2516.949951,2522.199951,2522.199951,4758976
24-08-2023,2539.899902,2539.899902,2471,2479.800049,2479.800049,7070010
25-08-2023,2456,2505,2442.600098,2468.350098,2468.350098,11111200
28-08-2023,2472,2484,2431.100098,2443.75,2443.75,6290413
29-08-2023,2452.050049,2453.449951,2408.149902,2420.350098,2420.350098,8438322
30-08-2023,2432,2443,2415,2418.050049,2418.050049,6084473
31-08-2023,2423,2425,2399.899902,2407,2407,10819300
01-09-2023,2406.550049,2425.649902,2401.649902,2412.649902,2412.649902,9056421
04-09-2023,2412.649902,2423.649902,2405.300049,2410.699951,2410.699951,4673813
05-09-2023,2420,2433.949951,2412.449951,2423.600098,2423.600098,4337938
06-09-2023,2421.100098,2436.149902,2417.25,2428.699951,2428.699951,4100185
07-09-2023,2421.699951,2438.25,2411,2432,2432,6826286
08-09-2023,2440,2456,2422.949951,2448.199951,2448.199951,11554644
11-09-2023,2452,2476.850098,2452,2474.600098,2474.600098,6635537
12-09-2023,2483,2483,2435.949951,2438.850098,2438.850098,8127833
13-09-2023,2440,2462.649902,2426.25,2451.050049,2451.050049,6401669
14-09-2023,2460,2465.800049,2445,2453.300049,2453.300049,4604818
15-09-2023,2468,2468,2449.5,2457.850098,2457.850098,12734296
18-09-2023,2440.050049,2451,2432.050049,2436.449951,2436.449951,3758150
20-09-2023,2423.050049,2427.600098,2355,2382.149902,2382.149902,28540942
21-09-2023,2374.949951,2390.100098,2360,2364.800049,2364.800049,6113091
22-09-2023,2376,2382.449951,2350,2354.949951,2354.949951,9588393
25-09-2023,2350.399902,2360.699951,2335.100098,2340.449951,2340.449951,7127442
26-09-2023,2338.550049,2350.199951,2335.600098,2342.5,2342.5,5043891
27-09-2023,2343.5,2371.800049,2338.5,2368.899902,2368.899902,5861389
28-09-2023,2383,2383,2365.300049,2371.100098,2371.100098,2395737
